Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,663,663.000,1893,2796,10188,31177,45408,59125,86279,281428,357651
1,835,835.000,1885,2571,3611,24553,40535,56558,62928,215733,278340
2,787,787.000,2007,2705,5487,24224,37861,53471,66522,194914,206605
3,822,822.000,1685,2571,7205,24736,42335,55188,64633,151054,247499
4,726,726.000,1758,2489,3335,29102,37899,55038,90940,312608,357947
5,747,747.000,1798,2543,3312,26554,34327,49620,63334,339779,403000
6,724,724.000,1793,2486,3689,26986,39426,51383,56823,306186,481062
7,779,779.000,1804,2477,3541,25436,39890,55715,64992,231297,345360
8,799,799.000,1703,2380,2984,26368,39150,53054,66387,313778,351275
9,671,671.000,1800,2499,7623,27936,36282,48753,64613,329846,397689
10,850,850.000,1859,2473,3230,25192,36403,52368,69896,233021,559278
11,623,623.000,1778,2416,2953,31187,33111,55923,101842,417570,604479
12,717,717.000,1650,2460,3210,29171,30887,51521,76018,356595,523053
13,592,592.000,1806,2496,3302,31887,42258,58050,72832,382097,490484
14,722,722.000,1588,2448,3453,26932,36897,52047,67559,342037,380702
15,718,718.000,1761,2470,3490,27951,42128,64991,81613,284130,326946
16,659,659.000,1618,2446,5027,30827,34533,60390,82729,389943,473064
17,765,765.000,1760,2445,3244,25788,35438,55990,64019,314565,344088
18,624,624.000,1643,2462,3413,32461,49056,68717,83804,303881,358325
19,738,738.000,1594,2298,3025,26503,39531,68049,83714,248629,315749
20,752,752.000,1651,2303,3057,28154,32741,46894,66123,350904,524382
21,495,495.000,1615,2516,3847,41620,52187,84561,103554,556172,658264
22,461,461.000,1436,2381,3273,40055,59695,86670,101600,569626,635626
23,483,483.000,1747,2426,4833,42557,52821,73618,107758,569916,682708
24,593,593.000,1654,2511,4012,34039,50243,73519,90684,370461,480686
25,621,621.000,1657,2508,3141,30906,43557,68556,79748,436599,511316
26,650,650.000,1795,2534,3274,30558,50610,76940,98368,284310,352203
27,539,539.000,1810,2519,3404,39996,36976,73115,308936,459423,524353
28,423,423.000,1667,2445,3099,47794,36715,67511,94064,736833,782322
29,569,569.000,1778,2532,3267,31786,49561,70682,90287,407165,544902
30,555,555.000,1733,2521,4484,39159,55780,82809,115207,459500,495959
31,584,584.000,1734,2436,3181,32010,53684,78124,92000,305501,364913
32,522,522.000,1798,2453,3782,39737,57574,82716,105545,474919,565039
33,521,521.000,1590,2497,3198,37717,52698,84376,115916,434406,468399
34,686,686.000,1781,2561,4445,27177,44124,71406,91335,238471,289533
35,715,715.000,1588,2514,3740,29918,37689,61887,88907,342716,404829
36,754,754.000,1747,2435,3577,25360,44135,62417,78050,201993,327508
37,690,690.000,1525,2462,3144,29355,37043,64138,83341,345575,418701
38,689,689.000,1803,2468,4810,29788,40451,61131,83544,333637,419481
39,785,785.000,1646,2423,2928,24644,30368,53790,70594,297287,438785
40,710,710.000,1734,2435,4069,28536,39979,65907,79438,318575,364016
41,602,602.000,1699,2473,3305,39075,37349,63639,94352,457013,1100176
42,241,241.000,1827,2486,3140,75061,33660,71527,569780,1085253,1112535
43,683,683.000,1492,2458,3437,27017,31584,50452,68100,395014,426624
44,795,795.000,1698,2426,5513,24152,38088,57648,72418,215716,374606
45,831,831.000,1702,2397,3769,24221,41582,63262,77751,157995,259975
46,639,639.000,1669,2386,3379,36300,33008,58608,269374,451273,563217
47,579,579.000,1717,2478,3885,30346,25571,48987,91859,455484,545375
48,693,693.000,1725,2416,3062,29605,27940,46833,100434,395404,465021
49,714,714.000,1721,2386,3148,26382,33203,57328,82510,334262,394593
50,766,766.000,1473,2412,5431,27112,32535,51791,75654,354526,400185
51,688,688.000,1662,2430,4539,28627,34631,57826,87258,328387,374016
52,688,688.000,1737,2364,2887,28898,27155,53867,70897,411495,447401
53,651,651.000,1557,2389,3999,33071,35847,55813,86616,452771,507160
54,633,633.000,1444,2419,3627,29004,36641,63252,78161,379610,469677
55,751,751.000,1712,2387,2923,27487,29634,53648,78926,371018,456397
56,758,758.000,1619,2393,3026,24479,30183,54544,82061,290998,369697
57,792,792.000,1531,2420,4173,25776,40987,63179,83161,233292,356484
58,667,667.000,1814,2479,4859,30527,42000,69486,89943,301482,344554
59,733,733.000,1744,2431,3088,23094,31051,46897,64458,277069,394682
